GEOGDESC,T1_1AGETT_2006,T2_1IEN_2006,T2_1PLN_2006,T2_1LTN_2006,T2_1IEBP_2006,T2_1PLBP_2006,T2_1LTBP_2006,PLN_PRE_2006,T1_1AGETT_2011,T2_1PLBP_2011,T2_1LTBP_2011,T2_1IEN_2011,T2_1PLN_2011,T2_1LTN_2011,T2_1IEBP_2011,PLN_PRE_2011,T1_1AGETT_2016,T2_1PLBP_2016,T2_1LTBP_2016,T2_1IEN_2016,T2_1PLN_2016,T2_1LTN_2016,T2_1IEBP_2016,PLN_PRE_2016,LONG,LAT
Carlow,50349,44771,1235,195,43698,1216,187,2.45,54612,2109,233,47487,2278,238,46374,4.17,56932,2121,231,49654,2277,239,48368,4,-6.82,52.73
Cavan,64003,56906,810,776,54380,809,787,1.27,73183,1744,1260,63106,1889,1326,60348,2.58,76176,2009,1301,65609,2189,1433,62173,2.87,-7.35,53.99
Clare,110950,96302,1385,285,92245,1384,283,1.25,117196,2508,318,101758,2658,340,96727,2.27,118817,2684,333,103829,2844,362,98420,2.39,-9.04,52.84
Cork,481295,425235,8546,2051,413419,8471,2047,1.78,519032,15127,2773,449401,15920,2886,435891,3.07,542868,15444,2542,470576,16292,2720,452597,3,-8.83,51.92
Donegal,147264,133181,709,215,117046,714,236,0.48,161137,1984,357,144087,2103,380,123239,1.31,159192,1858,308,142681,2012,345,123229,1.26,-7.9,54.92
Dublin,1187176,994413,19768,7320,965068,19667,7315,1.67,1327681,35943,10278,1080208,38176,10814,998628,2.88,1347359,31815,8999,1094986,33743,9857,1044603,2.5,-6.28,53.39
Galway,231670,200480,4153,916,190028,4192,922,1.79,250653,7088,1279,213930,7531,1354,202088,3,258058,7041,1249,220690,7507,1390,207602,2.91,-8.95,53.36
Kerry,139835,119872,2212,736,115292,2202,767,1.58,145502,3870,849,124647,4048,893,118615,2.78,147707,3994,815,125642,4237,891,119863,2.87,-9.72,52.12
Kildare,186335,164087,4028,1055,158086,4021,1048,2.16,210312,6749,1474,182259,7194,1558,175435,3.42,222504,6862,1547,195081,7199,1693,185034,3.24,-6.82,53.19
Kilkenny,87558,79825,1008,195,77467,995,207,1.15,95419,2033,396,85304,2177,419,82655,2.28,99232,2173,385,88938,2305,401,85565,2.32,-7.23,52.57
Laois,67059,60793,951,469,59304,960,469,1.42,80559,2120,721,70872,2299,753,69186,2.85,84697,2452,666,74626,2721,749,72275,3.21,-7.36,52.98
Leitrim,28950,25390,408,113,23751,407,117,1.41,31798,696,156,27349,764,174,25617,2.4,32044,758,160,27767,829,177,25901,2.59,-8.02,54.14
Limerick,184055,165489,3280,676,160182,3332,678,1.78,191809,5669,876,169223,6090,918,164207,3.18,194899,5295,758,171031,5648,844,165478,2.9,-8.75,52.5
Longford,34391,30192,721,305,29174,712,307,2.1,39000,1535,458,32822,1628,487,31711,4.17,40873,1774,493,34000,1903,540,32732,4.66,-7.73,53.71
Louth,111267,100196,672,1001,93116,667,989,0.6,122897,1736,1628,108104,1880,1747,99536,1.53,128884,1943,1797,113042,2114,2023,103235,1.64,-6.41,53.91
Mayo,123839,109900,1191,508,103151,1196,529,0.96,130638,2721,824,113751,2933,863,106534,2.25,130507,2617,879,114308,2806,972,106612,2.15,-9.38,53.92
Meath,162831,145577,1902,2173,139488,1885,2239,1.17,184135,3652,3180,160995,3867,3362,154890,2.1,195044,4223,3136,171825,4460,3443,163937,2.29,-6.73,53.63
Monaghan,55997,49738,680,1650,45298,670,1609,1.21,60483,989,2302,52665,1083,2398,47426,1.79,61386,929,2280,53315,982,2500,47922,1.6,-6.92,54.16
Offaly,70868,64206,967,686,62652,968,696,1.36,76687,1738,980,68523,1865,1036,66626,2.43,77961,1795,951,69771,1932,1069,68022,2.48,-7.6,53.21
Roscommon,58768,52317,668,234,49965,676,240,1.14,64065,1260,336,56074,1365,353,53510,2.13,64544,1273,346,56807,1364,377,53795,2.11,-8.25,53.72
Sligo,60894,54366,769,184,51590,771,192,1.26,65393,1474,234,57595,1562,243,54381,2.39,65535,1433,192,57622,1524,200,54272,2.33,-8.62,54.16
Tipperary,149244,135091,1751,749,130822,1757,774,1.17,158754,3940,1089,140681,4193,1158,136536,2.64,159553,3814,957,142449,4068,1042,137666,2.55,-7.96,52.64
Waterford,107961,96283,1026,290,93346,1027,299,0.95,113795,2106,463,99889,2251,492,96633,1.98,116176,2191,464,101649,2330,497,97744,2.01,-7.6,52.17
Westmeath,79346,70224,1168,606,67746,1150,628,1.47,86164,2149,958,74253,2345,1016,71589,2.72,88770,2164,1026,76780,2328,1142,73564,2.62,-7.44,53.53
Wexford,131749,119340,2019,650,115402,1998,640,1.53,145320,3765,847,129238,4010,865,125144,2.76,149722,3736,763,133760,3991,841,129334,2.67,-6.57,52.46
Wicklow,126194,112509,1249,590,107668,1243,603,0.99,136640,2597,811,120409,2754,848,114985,2.02,142425,2763,766,126075,2910,805,119572,2.04,-6.37,52.98
